Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
'THE COUNTRY LOFT'	1 MI S OF ANSON ON HWY 277	ANSON	79501	32025912091	00001	07/01/1985	04/30/1992
A & R CREATIONS	1924 AVENUE O	ANSON	79501	32089393089	00001	04/03/2023	
A B COX PETROLEUM CO	1 MI W HWY 180	ANSON	79501	17510717063	00001	01/01/1973	12/31/1974
A B COX TEXACO	1801 S COMMERICAL	ANSON	79501	17510717063	00003	07/08/1975	03/15/1976
A B COX TEXACO	1 MI W HWY 180	ANSON	79501	17510717063	00004	04/01/1976	12/31/1976
A TASTE OF TEXAS	1801 COMMERCIAL AVE	ANSON	79501	32045923045	00002	05/03/2019	09/30/2019
A TOUCH OF JOY	1669 US HIGHWAY 180 W	ANSON	79501	32023545927	00001	07/01/1994	12/30/1996
A WINDMILL UPHOLSTERY & ANTIQUES	CROSSROADS US HWY 80 - FM 1226	ANSON	79501	32029982322	00002	10/01/1992	12/30/1992
A-1 PORTABLES LOT 2	1531 AVENUE E	ANSON	79501	32060040576	00037	12/01/2019	
AAREA HI TEMP PRESSURE WASH	4001 FM 3326 E	ANSON	79501	32027583171	00001	06/03/2000	06/30/2001
ACTION AUCTION	1921 S HWY 277	ANSON	79501	32022119823	00001	01/04/1981	05/31/1981
ADELE'S ATTIC	1015 COMMERCIAL AVE	ANSON	79501	32027093734	00001	01/01/1997	12/25/1999
ADKINS DRILLING INC	2017 US HIGHWAY 277 S	ANSON	79501	17524565656	00002	07/01/1993	12/31/1996
ADKINS DRILLING INC	2 MI SW HWY 707 L ON CRD 481	ANSON	79501	17524565656	00001	02/09/1993	06/30/1993
ADVANCED BUILDING SYSTEMS	1432 AVENUE M	ANSON	79501	32012843473	00001	11/06/2003	12/31/2004
ADVANCED TELEPHONE SYSTEMS	4150 S DANZILLE SUITE 3-B	ABILENE	79501	17518408293	00002	05/01/1984	09/30/1984
AFFORDABLY FANCY	3014 FM 707	ANSON	79501	32061265941	00001	08/12/2016	03/31/2017
AGUIRRE'S CATFISH & MORE	132 COMMERCIAL AVE	ANSON	79501	32028816166	00003	04/01/2009	05/13/2010
AIRBRAND INC	732 17TH ST	ANSON	79501	17529409777	00001	08/01/2003	12/31/2003
ALL COPY	8310 FM 707	ANSON	79501	32044029042	00001	03/01/2011	12/31/2012
ALLSUP'S #241	1633 S COMMERCIAL	ANSON	79501	18501546834	00158	06/12/1982	07/30/2020
ALLSUPS #102241	1633 COMMERCIAL AVE	ANSON	79501	32062753804	00179	07/01/2020	
ALMOST EVERYTHING	1204 COMMERCIAL AVE	ANSON	79501	32040019682	00001	08/03/2009	12/31/2009
ANGEL CREATIONS	6062 COUNTY ROAD 185 NORTH OF CITY	ANSON	79501	32023768255	00001	07/13/1996	10/31/1996
ANGEL HOUSE	1932 AVENUE N	ANSON	79501	32019809345	00002	10/24/2001	03/31/2002
ANHELICA'S TACOS	801 15TH ST	ANSON	79501	32041619696	00003	10/27/2012	12/31/2015
ANHELICAS TACOS	801 15TH ST	ANSON	79501	32041619696	00002	07/01/2011	08/31/2011
ANOTHER MAN'S TREASURE	1248 COMMERCIAL AVE	ANSON	79501	32054520823	00001	07/14/2014	07/30/2019
ANSON ANTIQUE MALL	1015 COMMERCIAL AVE	ANSON	79501	32009288625	00003	09/01/2000	
ANSON ANTIQUE MALL	1015 COMMERCIAL AVE	ANSON	79501	32018822547	00001	01/01/2006	03/31/2008
ANSON ANTIQUE MALL	1015 COMMERCIAL AVE	ANSON	79501	32008295431	00002	07/01/1994	12/31/2005
ANSON ANTIQUE MALL LLC	1015 COMMERCIAL AVE	ANSON	79501	32034873490	00001	04/01/2008	04/30/2016
ANSON ANTIQUES & GIFTS	1015 COMMERCIAL AVE	ANSON	79501	32060237248	00001	06/01/2016	
ANSON AUTO MART	1600 COMMERCIAL AVE	ANSON	79501	15421840768	00005	08/07/2013	04/30/2018
ANSON AUTO PARTS INC	956 COMMERCIAL AVE	ANSON	79501	17517704676	00001	07/01/1981	05/12/2001
ANSON AUTOMOTIVE LLC	956 COMMERCIAL AVE	ANSON	79501	32048643632	00001	08/01/2012	
