Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
A BRASS CONECTION		ODESSA	00000	30006627571	00003	12/01/1984	12/31/1987
A BRASS CONECTION		MIDLAND	00000	30006627571	00002	12/01/1984	12/31/1987
AMERICAN FIREWORKS	HWY 1431 GOING TO JONESTOWN	CEDAR PARK	00000	32032646930	00001	07/05/1991	07/05/1991
BEST CUSTOM HOMES INC	CO RD 3555 6/10 MILE FROM FM 2123	COTTONDALE	00000	17523633851	00003	01/01/1997	12/31/1998
BILLY MAC INC	1/2 MILE EAST ON COUNTY RD OFF WHY 729	MIMS	00000	17514893837	00003	07/01/1979	09/30/1981
C-YA ACTION FUN WEAR	HIGHLAND MALL	AUSTIN	00000	32028285479	00001	06/25/1991	04/01/1992
CHARLIE CATFISH INN	16912 HWY 155 SOUTH	NOONDAY	00000	32024897681	00001	04/01/1983	07/30/1993
DARBY PEGGY	ROUTE 3 BOX 92	ABILENE	00000	32024879135	00001	09/19/1980	09/19/1980
F G KELLY	RT 6 BOX 245	WEATHERFORD	00000	32013314565	00001	04/28/1983	12/31/1987
GRANDMA HAD ONE	11500 JACKSBORO HWY RT 25 BOX 76	AZLE	00000	32029472886	00003	02/03/1992	12/15/1993
H FOREMAN CONSTRUCTION COMPANY	SET UP IN ERROR-SEE OUTLET	NUMBER	00000	17418333559	00001	09/30/1977	09/30/1977
JACQUELINE A HEAVIN	GEORGETOWN EMPORIUM	GEORGETOWN	00000	32021985018	00001	04/22/1991	01/01/1994
JESSIE L COBURN	BLUE RANCH HOUSE MALL #6	WIMBERLEY	00000	32029103192	00002	07/03/1991	07/31/1991
KYTE CONSTRUCTION INC	SET UP IN ERROR TO WRONG	TAXPAYER	00000	17414750293	00002	08/01/1974	08/01/1974
LEE'S HIDE A WAY	COUNTY RD 402	TAYLOR	00000	32025654156	00001	10/05/1992	10/10/1993
LETOT SERVICE	SEE TP #24653019976 SET UP IN	ERROR	00000	17514306186	00002	01/01/1974	01/01/1974
LOUIS MARTINEZ SR	7312 S US HWY 183	AUSTIN	00000	32021100626	00006	05/17/1991	12/31/1991
MASERA CORPORATION	DALLAS CONVENTION CENTER	DALLAS	00000	18406728016	00002	04/07/1991	07/31/1993
PASSAGE EAST RESTAURANT	SEE TAXPAYER NO 30001885422	SET UP IN ERROR	00000	17416732539	00002	10/01/1973	10/01/1973
TACO BELL #4733	8614 MEMORIAL DR	HOUSTON	00000	19522136563	00264	12/01/1992	03/31/1994
TASTE OF ORIENT	PRESTONWOOD TOWN CENTER	DALLAS	00000	17425049370	00007	09/01/1989	09/01/1989
TERRY DUVAL	HWY 71 TO BASTROP CROSS ONION CREEK R SI	AUSTIN	00000	32028399544	00001	07/05/1991	07/05/1991
TEXAS GULF COAST CHAPTER	RIVER OAKS GARDEN CLUB WESTHEIMER	HOUSTON	00000	12374175110	00004	04/28/1980	04/28/1980
TJ & T TIRE CO	1 MILE SOUTH ON HWY 35	GREGORY	00000	17519932192	00003	11/01/1992	09/30/1993
US FIREWORKS OF AMERICAN	FM 1936	ODESSA	00000	17513941793	00001	06/25/1997	06/25/1997
US FIREWORKS OF AMERICAN	FM 1936	ODESSA	00000	17513941793	00001	06/24/1998	06/30/1999
VERISTAR INCORPORATED		TYLER	00000	17421942297	00011	08/01/1991	08/01/1991
VERISTAR INCORPORATED		TYLER	00000	17421942297	00010	07/01/1991	07/01/1991
3 STEP COMPUTERS.COM	8992 PRESTON RD STE 110	PLANO	00000	32008332804	00001	09/27/2002	09/30/2002
MARSHALLS #248	9592 FM 1960 BY PASS COMMONS AT DEERPARK	HUMBLE	73301	10430680982	00040	10/01/1996	11/30/1999
MR GOODTRUCK INC	1400 E DAVIS HWY 105	CONROE	73301	17419876622	00001	07/01/1978	03/31/1979
RAMADA LTD	1520 SOUTH FRAZIER	CONROE	73301	30114877480	00002	09/01/1992	04/01/1993
ARTS AND CRAFTS BY JANELL & JERRY'S STUF	804 SOUTH SECOND STREET	TEXHOMA	73949	32023363222	00001	11/01/1991	12/31/1996
BURD'S CORNER NURSERY	HWY 54 WEST	TEXHOMA	73949	32031824561	00001	04/01/1991	11/01/1996
CERAMIKRAFTS BY DARRELL	1000 S GLENN	TEXHOMA	73949	32028117771	00001	11/01/1991	03/01/1993
CERAMIKRAFTS BY DARRELL & DOLLS BY IMO	1000 S GLENN	TEXHOMA	73949	32023323655	00001	03/01/1993	12/31/1994
COLLINGWOOD GRAIN INC	HIGHWAY 54 WEST	TEXHOMA	73949	14806360245	00001	07/01/1995	06/30/2002
COUNTRY CREATIONS	1001 S 6TH	TEXHOMA	73949	32008650015	00001	04/01/2003	09/30/2004
DECKER ENTERPRIZES	921 S GLENN	TEXHOMA	73949	32018385024	00001	11/01/2005	01/10/2008
ELLIOTT SUPPLY CO	922 S 3RD ST	TEXHOMA	73949	17509855023	00001	09/01/1961	12/31/2002
GLENN HAMILTON SADDLES	918 S 2ND	TEXHOMA	73949	32006641636	00001	05/01/1985	11/30/2006
HAND CRAFTS	1003 S ROWE	TEXHOMA	73949	32027535775	00001	08/30/1993	01/01/1994
HOSIER OIL COMPANY	HWY 54 WEST	TEXHOMA	73949	32012926237	00001	07/01/1970	03/31/1977
HUGHES OIL INC	HWY 54	TEXHOMA	73949	17512422084	00006	05/01/1981	12/01/1984
HWY 54 FUEL	HIGHWAY 54 WEST	TEXHOMA	73949	32031842571	00001	06/02/1993	12/31/1998
JAMES FIREWORKS STAND	1021 S 6TH ST	TEXHOMA	73949	32011616722	00001	06/24/2003	09/30/2009
JERRY THOMPSON SERVICE STATION	HWY 54 WEST	TEXHOMA	73949	32012925767	00002	04/01/1968	09/05/1968
KING GAS & OIL	HIGHWAY 54 WEST	TEXHOMA	73949	14406454117	00001	10/01/1982	12/25/1985
KING OF THE ROAD	HWY 54 W	TEXHOMA	73949	30113698051	00001	04/27/1989	05/02/1990
P & S MOTORCYCLE	206 E PEARL STREET	TEXHOMA	73949	32008483524	00001	01/15/1996	12/25/2002
PIERCE ANTIQUES & COLLECTIONS	818 S 2ND	TEXHOMA	73949	32004834951	00001	02/26/1980	11/19/1981
R L POTTS	1005 3RD ST	TEXHOMA	73949	32031736567	00001	06/01/1992	09/30/1995
RED DEVIL FUEL & OIL COMPANY	HWY 54 S SIDE SHERMAN CO GRAIN	TEXHOMA	73949	32012931518	00001	09/17/1984	12/31/1991
RED DEVIL FUEL & OIL INC	HWY 54 WEST	TEXHOMA	73949	17314461199	00001	06/01/1994	04/30/2001
RED DEVIL FUEL & OIL, LLC	HWY 54 W S SIDE SHERMAN CO GRAIN	TEXHOMA	73949	32012084003	00001	01/02/1992	06/30/1994
SHERMAN COUNTY GRAIN CO	HIGHWAY 54 WEST	TEXHOMA	73949	17507664260	00001	04/01/1980	06/30/1995
SOUTHERN UNION GAS CO		TEXHOMA	73949	17505715924	00015	10/01/1970	06/30/1971
STATE LINE ELECTRIC	1001 S 6TH	TEXHOMA	73949	32010317587	00002	01/01/2005	12/31/2006
STATE LINE ELECTRIC	902 SOUTH 3RD	TEXHOMA	73949	32010317587	00001	08/01/1990	12/31/2004
TEXAS GROCERY	1 BK SO OFF HWY 54 ON 5TH ST	TEXHOMA	73949	32023298741	00001	07/01/1984	09/30/1996
TEXAS GROCERY	617 S 5TH	TEXHOMA	73949	32031665907	00001	10/01/1996	06/01/1998
TEXHOMA OIL & GAS	HWY 54 EAST	TEXHOMA	73949	32012909100	00001	07/01/1982	09/30/1984
TEXHOMA OIL AND GAS CO	HWY 54	TEXHOMA	73949	17307822068	00001	01/01/1970	12/31/1981
TEXHOMA WHEAT GROWERS INC	BOX 250	TEXHOMA	73949	17506096233	00001	09/01/1961	09/30/1983
TEXHOMA WHEAT GROWERS INC	HWY 54 W	TEXHOMA	73949	17506096233	00002	10/01/1983	
TOMMY GOETZ	719 SOUTH 4TH	TEXHOMA	73949	32026238728	00001	06/01/1990	07/30/1991
