Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
CALIBRATECH TRADE & SERVICES	915 SAINT PAUL DR #235	RICHARDSON	75800	32032950456	00001	11/29/1994	12/31/1994
"THE BROWSERY"	1006 E PALESTINE AVE	PALESTINE	75801	32063486792	00003	07/01/2019	
FRIEDMAN FURNITURE	1304 HWY 155 N	PALESTINE	75801	32005376069	00002	01/01/2000	03/31/2000
HERITAGE AUTO ENTERPRISES LL	2739 N US HIGHWAY 79	PALESTINE	75801	12012575143	00001	09/01/2004	06/30/2005
PALESTINE FUEL INJECTION SERVICE INC	1990 E MURCHISON ST	PALESTINE	75801	15624000723	00001	11/01/2003	
PERFORMANCE TRUCK - PALESTINE	5434 W OAK ST	PALESTINE	75801	17419210376	00016	02/28/2004	12/31/2016
SMOAK HOUSE NO. 587	901 W PALESTINE AVE	PALESTINE	75801	32077196866	00003	07/01/2022	
SUTHERLANDS	2190 S LOOP 256	PALESTINE	75801	14310092193	00003	02/01/2001	11/01/2006
$10 BELOW #059	PALESTINE MALL 2000 S LOOP 256	PALESTINE	75801	14109787722	00014	08/01/1980	05/01/1989
#1 A LIFESAFER OF TEXAS (NO LIMIT)	2701 CROCKETT RD	PALESTINE	75801	12033838280	00096	01/02/2018	12/31/2019
"HEALTH NATURALLY" SALUD	1917 CROCKETT RD	PALESTINE	75801	32009003040	00002	10/01/1991	10/01/2008
"R" PLACE RV PARK AND CAMPGROUND	14000 E US HIGHWAY 84	PALESTINE	75801	32025037428	00001	02/09/2007	12/31/2015
"THE BROWSERY"	1002 E PALESTINE AVE	PALESTINE	75801	32063486792	00001	06/01/2017	06/30/2019
A & A DRY CLEANERS	3209 W OAK ST	PALESTINE	75801	17529023750	00004	07/01/2002	07/24/2002
A & E MANAGEMENT TX LLC	2020B CROCKETT RD	PALESTINE	75801	32065620190	00002	11/01/2017	12/31/2022
A & J ENTERPRISES	811 N QUEEN ST	PALESTINE	75801	32010462920	00002	01/01/1997	06/30/1997
A & L SERVICES	203 YORKSHIRE BLVD	PALESTINE	75801	30011290621	00002	01/01/1994	01/01/1995
A & M DISTRIBUTING CO	108 SOUTH SYCAMORE	PALESTINE	75801	17514868375	00001	11/03/1975	12/31/1987
A & M DISTRIBUTING COMPANY	111 CEDARVALE	PALESTINE	75801	17514868375	00009	09/01/1988	12/31/1988
A & M DISTRIBUTING COMPANY	100 NORTH CHURCH STREET	PALESTINE	75801	17514868375	00004	01/01/1988	08/30/1988
A & M GLASS & PATIO	502 W OAK	PALESTINE	75801	32032216742	00001	02/01/1986	06/30/1989
A & M GLASS AND PATIO	502 WEST OAK STREET	PALESTINE	75801	32024465489	00005	10/04/1982	01/24/1986
A & T LOCK & KEY	1917 CROCKETT RD STE 4	PALESTINE	75801	32028231531	00002	07/01/1982	03/31/1983
A & W TREE	LOOP AND HWY 84	PALESTINE	75801	32004998459	00003	01/01/1986	12/31/1986
A - 1 AUTO SALES	300 W PALESTINE AVE	PALESTINE	75801	32017032916	00002	01/01/2009	09/30/2010
A A & T J'S PEST ELIMINATION	1205 S SYCAMORE	PALESTINE	75801	32007641890	00002	10/01/1987	03/31/1989
A A & TJ'S PEST ELIMINATION	104 W PALESTINE AVE	PALESTINE	75801	32007641890	00003	04/01/1989	09/30/2008
A A USED CARS	613 AVENUE A ST	PALESTINE	75801	32007591723	00002	11/01/1983	12/31/2011
A AND A ASSOCIATES	814 RANGE RD	PALESTINE	75801	32027363657	00001	06/13/1992	03/29/1993
A AND D SALES	108 COASTAL MEADOWS LANE	PALESTINE	75801	30115245380	00001	09/01/1991	12/31/2006
A AND M GLASS & PATIO	502 WEST OAK	PALESTINE	75801	32030073103	00001	07/01/1989	04/30/1995
A AND R HOUSE CLEANING	114 MEADOW BEND RD	PALESTINE	75801	32028528613	00001	10/18/1995	01/01/1996
A BIRDS NEST	1905 E PARK AVE	PALESTINE	75801	32007565883	00002	04/01/2012	12/31/2016
A CHILD'S WORLD	303 W PALESTINE AVE	PALESTINE	75801	32006166956	00003	03/29/2004	07/03/2004
A LA CARTE	522 AN COUNTY ROAD 2138	PALESTINE	75801	32017407829	00001	05/13/2005	12/25/2006
A LASH ARTISTRY	1917 CROCKETT RD	PALESTINE	75801	32074287247	00001	07/01/2020	09/30/2020
A LITTLE BIT OF EVERYTHING	8942 S US HIGHWAY 79	PALESTINE	75801	32013251320	00002	04/15/2005	
A LITTLE OFF THE TOP	1917 CROCKETT RD SUITE 4	PALESTINE	75801	32017113864	00001	10/01/1995	12/30/1999
A LITTLE OFF THE TOP	1917 CROCKETT ROAD	PALESTINE	75801	32006425220	00001	08/01/2000	
A LITTLE OFF THE TOP	1817 CROCKETT RD STE 6	PALESTINE	75801	32006927852	00001	08/01/2001	12/31/2001
A LITTLE OFF THE TOP	1917 CROCKETT RD STE 6	PALESTINE	75801	32009372817	00001	06/18/2001	12/31/2001
A LITTLE OFF THE TOP	1917 CROCKETT RD STE 6	PALESTINE	75801	32061000884	00001	07/15/2016	09/30/2017
A LITTLE OFF THE TOP	1917 CROCKETT RD STE 6	PALESTINE	75801	32060451666	00001	07/01/2016	05/31/2017
A LITTLE OFF THE TOP	1917 CROCKETT RD STE 6	PALESTINE	75801	32060037671	00001	04/22/2016	10/22/2016
A LITTLE OFF THE TOP	1917 CROCKETT RD # 4	PALESTINE	75801	32029592881	00002	01/02/1996	12/31/1998
A M BURNS CO	223 W CRAWFORD	PALESTINE	75801	17507236085	00002	01/02/1970	05/30/1992
A M BURNS CO	503 N JOHN ST	PALESTINE	75801	17507236085	00001	09/01/1961	12/31/1969
A M STORY SCHOOL PTA	5300 N LOOP 256	PALESTINE	75801	17521149033	00001	09/01/1990	
A MIRROR IMAGE	720 W PALESTINE AVE	PALESTINE	75801	32040548672	00001	11/15/2009	12/31/2010
A ONE GLASS	102 E PALESTINE AVE	PALESTINE	75801	32013843951	00006	04/01/2010	06/30/2013
A PLUS AUTO	811 W PALESTINE AVE	PALESTINE	75801	32008989702	00002	04/01/2002	12/31/2003
A TO Z OUTLET	209 W OAK ST	PALESTINE	75801	30118023578	00002	05/01/1998	06/30/1998
A TO Z OUTLET	201 W OAK ST	PALESTINE	75801	30118023578	00001	02/11/1997	08/01/1998
A TO Z OUTLET	201 W OAK ST	PALESTINE	75801	17527746642	00001	08/01/1998	01/31/2002
A TO Z OUTLET	201 W OAK ST	PALESTINE	75801	17525643197	00001	10/29/1994	02/10/1997
A TON OF FUN	6 MI E ON FM 323	PALESTINE	75801	32013753689	00001	09/07/1995	12/31/1995
A TOUCH OF SPICE	120 W OAK ST	PALESTINE	75801	32016182738	00001	11/15/2004	12/31/2016
A V I ELECTRONICS	109 BRUSHY CREEK RD	PALESTINE	75801	32031279758	00002	01/01/1991	03/15/1992
A V I ELECTRONICS	1261 N LINK	PALESTINE	75801	32031279758	00001	09/01/1985	12/31/1990
A.C.E. CARPET CLEANING RESTORATION	103 W SPRING ST	PALESTINE	75801	32007712170	00004	02/01/2018	
A+ LAWN SERVICE	119 SPRINGCREEK DR	PALESTINE	75801	32031130142	00001	11/01/1996	08/01/1997
A-ONE GLASS & MIRROR	1701 W PALESTINE AVE	PALESTINE	75801	32013843951	00004	08/01/2007	03/30/2008
A-ONE GLASS & MIRROR	2220 W OAK ST	PALESTINE	75801	32013843951	00005	04/01/2008	03/31/2010
A-ONE GLASS & MIRROR	615 W PALESTINE AVE	PALESTINE	75801	32013843951	00003	04/01/2004	07/31/2007
A-PLUS AUTO GLASS	811 W PALESTINE AVE	PALESTINE	75801	32002510835	00003	12/28/2000	09/30/2001
A-PLUS AUTO GLASS AND DETAIL	811 W PALESTINE AVE	PALESTINE	75801	32008389283	00002	10/01/2001	11/17/2001
A-RIGHT WAY	119 PEACH TREE DR	PALESTINE	75801	32008022595	00002	10/01/1998	07/20/2005
A-RIGHT WAY	504 TYLER ST	PALESTINE	75801	32008022595	00001	08/01/1997	09/30/1998
A-1 FLOOR & MAINTENANCE SERVICE	307 WINDRIDGE RD	PALESTINE	75801	32008895164	00001	03/22/1990	09/30/2004
A-1 GLASS & MIRROR	1208 HAYS ST	PALESTINE	75801	32013843951	00002	12/02/2003	03/30/2004
A-1 PUMP SERVICE	2315 N JACKSON ST	PALESTINE	75801	32024507983	00001	06/01/1996	07/31/1998
A/P CONTRACTORS LLC	710 W MAIN ST	PALESTINE	75801	32053915669	00001	04/01/2015	
AA & ASSOCIATES	410 GLENWOOD	PALESTINE	75801	32024431515	00001	08/18/1992	08/19/1992
AAA AUTO RENTAL	2501 W OAK ST	PALESTINE	75801	32010814369	00001	01/01/2002	12/31/2004
AAA MINI STORAGE	500 COURT DR	PALESTINE	75801	17525886259	00001	04/01/2000	12/31/2008
AAA RESTAURANT	N US HIGHWAY 287	PALESTINE	75801	32008160304	00002	02/04/2002	12/31/2008
AAA RESTAURANT INC	HWY 287 NORTH	PALESTINE	75801	17519909067	00001	04/01/1985	01/31/2002
AAAHHSOME SALON & DAY SPA	1925 CROCKETT RD	PALESTINE	75801	32027704785	00001	09/01/2015	12/31/2017
AACW'S TERMITE AND PEST ELIMATORS	DAYS CHAPEL RD OFF 1817 AND 2419	PALESTINE	75801	32023160156	00001	08/13/1989	12/31/1991
