Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
BASIC ENERGY SERVICES L P	2206 N HWY 87	BIG SPRING	79200	17524418195	00043	12/16/1997	08/31/2022
TOTAL ENTERTAINMENT	2205 GREENBELT PLAZA	CHILDRESS	79200	17561651195	00003	07/01/1986	04/01/1989
A & B AUTOMOTIVE	509 2ND ST NE	CHILDRESS	79201	32027403271	00003	04/01/2000	12/31/2000
A & B AUTOMOTIVE	110 AVENUE F NE	CHILDRESS	79201	32027403271	00002	01/01/1999	03/31/2000
A & B AUTOMOTIVE	210 AVENUE F NE	CHILDRESS	79201	32027403271	00001	03/09/1998	12/31/1998
A & W SALES	210 AVENUE F NE	CHILDRESS	79201	32025733398	00005	11/01/1996	12/31/1996
A HOUSEHOLD WORD	1802 AVENUE G NW	CHILDRESS	79201	32027810087	00001	09/01/1995	12/31/1999
A L HARP DRUG CO	121 N MAIN	CHILDRESS	79201	17503197307	00001	09/01/1961	01/28/1995
A L MOONEY TV SERVICE	409 AVENUE C SE	CHILDRESS	79201	32030906468	00001	09/01/1961	12/31/2000
A M DONUTS	1008 AVE F NW	CHILDRESS	79201	32012975457	00002	04/01/1996	06/01/1996
A M DONUTS / SANDWICH	208 10TH ST SW	CHILDRESS	79201	32012975457	00001	12/18/1995	03/31/1996
A SOUTHERN SOUND	300 MADISON AVE APT 506	CHILDRESS	79201	32007471611	00003	01/01/2007	12/31/2010
A SOUTHERN SOUND	109 AVENUE C SW	CHILDRESS	79201	32007471611	00002	02/22/2006	12/31/2006
A T DAVIS	FM 2530-N E CHILDRESS	CHILDRESS	79201	32023911707	00001	04/01/1979	03/31/1981
A-1 FLOWERS & GIFTS	HWY 83 NORTH	CHILDRESS	79201	32004971845	00001	11/01/1984	12/31/1988
A-1 REFRIGERATION & ELECTRIC	203 H N/W	CHILDRESS	79201	32007988259	00001	04/01/1983	12/31/2005
AARON'S SALES & LEASE - F757	2101 AVENUE F NW	CHILDRESS	79201	32056871174	00005	05/01/2015	10/31/2018
AARON'S, INC C1910	2101 AVENUE F NW	CHILDRESS	79201	15806876304	00454	09/01/2018	
