Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
JUDD ENTERPRISES INC	CNTY RD H16	UVALDE	78800	30010617998	00001	08/01/1997	12/31/1999
INTERNATIONAL CHRISTIAN SUPPLY	139 E NOPAL ST	UVALDE	78801	32009521025	00002	08/03/1998	12/31/2003
" MY PERSONAL TREASURES "	507 W COMMERCE ST	UVALDE	78801	32037229096	00001	08/13/2008	12/31/2008
A & A	739 EVANS ST	UVALDE	78801	32047424216	00001	03/30/2012	03/31/2014
A & L SERVICES	232 MYRTLE ST	UVALDE	78801	32008401989	00002	10/01/2006	
A & L SERVICES	116 BLUEBONNET DR E	UVALDE	78801	32008401989	00001	01/15/1998	09/30/2006
A & M SALES	2305 KNOX ST	UVALDE	78801	32007872156	00001	09/06/2002	06/30/2003
A & M THRIFT SHOP / SECOND TIME AROUND	121 W MAIN ST	UVALDE	78801	32034469083	00002	01/01/2013	03/31/2013
A & W COLLECTABLES	333 E MAIN	UVALDE	78801	30115554914	00001	07/01/1993	12/31/1993
A B CERAMICS & INDUSTRIES	10 MI N OF UVALDE ON HWY 55	UVALDE	78801	32008995899	00001	01/01/1988	12/31/2009
A FORMAL AFFAIR	114 W MAIN	UVALDE	78801	32005316925	00001	04/21/1990	07/01/1991
A J'S SPORTS CARDS	420 B SOUTH GETTY	UVALDE	78801	32027227381	00002	09/23/1991	09/30/1991
A L JONES BUILDING CONTRACTOR	546 N HIGH ST	UVALDE	78801	32031872198	00001	09/30/1986	09/30/1986
A L V ENTERPRISES	313 BOHME ST	UVALDE	78801	32027593311	00001	08/02/1996	12/31/1997
A L 90 WEST	583 W MAIN ST	UVALDE	78801	32016331061	00002	10/16/2009	03/31/2011
A LA CARTE	100 W NORTH ST	UVALDE	78801	32007043360	00003	10/01/2001	03/31/2011
A LA CARTE	9 TANGLEWOOD ST	UVALDE	78801	32007043360	00001	09/05/1990	01/01/1996
A LIL' BIT OF EVER'TING	522 FORT CLARK RD	UVALDE	78801	32010384538	00003	10/30/2016	
A LIL' BIT OF EVER'TING	522 FORT CLARK RD	UVALDE	78801	32010384538	00002	10/15/2008	12/25/2011
A MOTHER'S LOVE	624 CENIZO BLVD	UVALDE	78801	32027007726	00001	09/08/1997	12/31/1998
A U OUTDOOR EQUIPMENT	107 N 4TH ST	UVALDE	78801	17427534916	00001	09/01/1995	09/30/1996
A-PLUS FAMILY CLOTHIERS INC	123 E MAIN	UVALDE	78801	30005461691	00002	10/01/1982	04/30/1983
A-PLUS FAMILY CLOTHIERS INC	1010 GAINERFIELD RD	UVALDE	78801	30005461691	00001	06/01/1981	09/30/1982
A-RECORD SHOP	204 E MAIN	UVALDE	78801	32023934394	00002	04/01/1979	06/30/1979
A-RECORD SHOP	217 CARDWELL	UVALDE	78801	32023934394	00001	01/15/1978	03/31/1979
A-1 LOCK & KEY	1005 E MAIN ST	UVALDE	78801	32018154669	00001	09/01/2005	06/30/2014
A-1 LOCK & KEY	1005 E MAIN ST	UVALDE	78801	32007653341	00010	08/15/1986	08/31/2005
A-1 LOCK & KEY, LLC	1005 E MAIN ST	UVALDE	78801	32054406569	00001	07/01/2014	
A-1 SIGN CO	629 E MAIN	UVALDE	78801	30006190190	00002	06/01/1986	04/30/1988
A-1 TRANSMISSION	1805 MILAM ST	UVALDE	78801	32007541967	00002	04/01/1997	
A-1 TRANSMISSION	636 NORTH GROVE STREET	UVALDE	78801	32007541967	00001	11/01/1984	09/30/1994
A'S TRANSMISSION	1805 MILAM ST	UVALDE	78801	32025945646	00001	09/01/1994	03/31/1997
AARONS RENTAL PURCHASE	120 E MAIN ST	UVALDE	78801	17427918473	00017	09/01/2003	02/01/2008
AARONS SALES AND LEASE OWNERSHIP C1094	120 E MAIN ST	UVALDE	78801	15806876304	00285	07/02/2007	
AATCO MUFFLER SERVICES	310 S GETTY	UVALDE	78801	30005461691	00003	08/01/1984	07/01/1993
ABAR RENTAL INC	511 S WOOD	UVALDE	78801	17419278779	00001	09/01/1977	12/31/1981
ABC TRUCK RENTAL & LEASING CO	HWY 90 EAST	UVALDE	78801	17413944897	00026	01/01/1981	05/31/1984
ABLE IRRIGATION CO	CRYSTAL CITY HWY	UVALDE	78801	17413605902	00001	09/01/1961	06/30/2001
ACACIALADY DESIGNS	187 PRIVATE ROAD 4330	UVALDE	78801	32048046950	00001	05/24/2012	03/31/2014
ACCENTS BY ANGIE	1510 GARNER FIELD ROAD # 1004	UVALDE	78801	32029839605	00001	01/06/1992	09/30/1992
ACCURACY PRINTING	126 S. GETTY ST.	UVALDE	78801	17423490204	00001	08/01/1984	06/01/1994
ACE CHECK CASHING UVALDE	420 E MAIN ST	UVALDE	78801	32018321920	00003	01/01/2006	
ACE ENTERPRISES	536 CRYSTAL CITY HWY	UVALDE	78801	32007732541	00002	04/14/1998	12/31/2003
ACE ENTERPRISES	4TH HOUSE ON LEFT HWY 140	UVALDE	78801	32007732541	00001	04/01/1996	04/13/1998
ACE GLASS & MIRROR CO	616 SO GETTY	UVALDE	78801	32005177426	00002	10/01/1973	10/01/1975
ACE GLASS & MIRROR CO	236 E LEONA	UVALDE	78801	32005177426	00001	01/01/1973	09/30/1973
ACE HARDWARE AND LUMBER	2400 E MAIN ST	UVALDE	78801	17410701233	00002	09/01/1994	10/31/2011
ACERO, INC.	2730 COUNTY RD 400	UVALDE	78801	17427924117	00001	07/08/1996	12/31/2018
ACERO, INC.	7850 N US HIGHWAY 83	UVALDE	78801	17427924117	00002	01/01/2019	
ACTION PLUMBING	811 S GETTY ST	UVALDE	78801	17426812487	00003	04/01/1999	03/01/2020
ACTION PLUMBING	114 1/2 W NORTH ST	UVALDE	78801	17426812487	00002	01/01/1992	03/31/1999
ACTION PLUMBING	114 1/2 W NORTH ST	UVALDE	78801	17426812487	00001	03/01/1991	10/14/1991
ACTIVE T'S	108 S GETTY ST	UVALDE	78801	32024852777	00001	01/01/1997	02/28/1997
ACTIVE T'S & BOUTIQUE	108 S GETTY ST	UVALDE	78801	32032578620	00001	08/01/1996	10/28/1996
AC2K, LLC	4407 E MAIN ST STE 9	UVALDE	78801	32047870244	00001	06/01/2012	12/31/2012
ADAARLENE ESTHETICS	104 E NORTH ST	UVALDE	78801	32055547726	00002	04/01/2015	08/27/2015
ADAARLENE ESTHETICS	200 N GETTY ST	UVALDE	78801	32055547726	00001	10/30/2014	03/31/2015
ADAM MARTINEZ	304 W BRAZOS ST	UVALDE	78801	32069613753	00001	02/08/2019	07/31/2019
ADAM RAY MARTINEZ	304 W BRAZOS ST	UVALDE	78801	32069613753	00003	10/09/2019	09/30/2020
ADESTINE'S PIPE SHOP	754 CRYSTAL CITY HWY # 83.S	UVALDE	78801	32056959979	00001	05/01/2015	12/31/2015
ADOBE LODGE	5501 GARNER FIELD RD	UVALDE	78801	32065181490	00002	03/01/2021	
ADOBE WALLS	103 N WEST ST	UVALDE	78801	32006162542	00001	03/01/1996	12/31/1996
ADVANCED CARPET CARE	2216 GARNER FIELD RD	UVALDE	78801	32009857791	00001	01/07/2003	03/31/2005
ADVANTAGE FOAM INSULATION, LLC	123 BEAVERS LN	UVALDE	78801	32049679668	00001	11/01/2018	
AEROTEX	200 HORNBY PLACE	UVALDE	78801	32005520773	00001	09/05/1987	12/31/1987
AFFORDABLE MATTRESS AND FURNITURE	568 W MAIN ST	UVALDE	78801	32009338115	00012	11/21/2011	04/16/2012
AFFORDABLE MATTRESS AND FURNITURE	231 S GETTY ST REAR	UVALDE	78801	32009338115	00010	07/06/2007	06/30/2018
AFFORDABLE MATTRESS AND FURNITURE	231 S GETTY ST	UVALDE	78801	32009338115	00005	05/17/1999	04/21/2000
AFFORDABLE MATTRESS FURNITURE & A FASHION	124 S GETTY ST	UVALDE	78801	32009338115	00009	06/01/2007	07/06/2007
AFFORDABLE MATTRESS FURNITURE AND A FASHIONS	124 S GETTY ST	UVALDE	78801	32009338115	00008	11/04/2005	05/31/2007
AFFORDABLE MATTRESS FURNITURE AND A FASHIONS	128 W MAIN ST	UVALDE	78801	32009338115	00006	04/19/2000	11/03/2005
AFFORDABLE PEST CONTROL-BB LLC	119 E LEONA ST	UVALDE	78801	17215776422	00001	03/24/2004	11/30/2005
AG EQUIP INC	4420 E MAIN ST	UVALDE	78801	17419138692	00002	04/01/1983	
AG-PRO TEXAS, LLC	6585 E US HWY 90	UVALDE	78801	14742434310	00022	11/01/2019	07/31/2021
AG-PRO TEXAS, LLC	2305 E MAIN ST	UVALDE	78801	14742434310	00008	06/29/2015	10/31/2019
AGAVE	114 W NORTH ST	UVALDE	78801	32045183822	00002	06/20/2017	
AGGREGATE HAULERS I, L.P.	4461 E MAIN ST	UVALDE	78801	10106115925	00008	06/01/2021	
AGRI-BUSINESS COMPUTERS	8 MI N OF HWY 55 ON HWY 83	UVALDE	78801	30008402213	00002	02/01/1987	06/30/1987
AGRI-BUSINESS COMPUTERS	121 N WEST	UVALDE	78801	30008402213	00001	08/01/1984	01/31/1987
AGRI-EMPRESA INC	229 NORTH THIRD ST	UVALDE	78801	17419038082	00002	01/01/1979	12/31/1982
AGRI-EMPRESA INC	GARNER FIELD RD #403	UVALDE	78801	17419038082	00001	01/01/1978	12/31/1978
AGRILINK FOODS	FM 2369 HACIENDA RD 2MILES W OF GROVE ST	UVALDE	78801	32009755458	00002	09/24/1998	05/31/2003
AGRO EQUIPMENT CO INC	613 S GETTY ST	UVALDE	78801	17420110219	00002	04/01/1983	
AGRO FORD EQUIPMENT CO	603 S GETTY ST	UVALDE	78801	17410846160	00001	09/01/1961	03/31/1983
AGROSOFT SYSTEMS	420 SYCAMORE	UVALDE	78801	32010260555	00002	02/01/1992	06/01/1994
AGUA BUENA ENTERPRISES	408 SYCAMORE	UVALDE	78801	32008381637	00001	10/01/1991	04/25/1994
AGUILAR & SON'S BAKERY & TACO HOUSE	125 W FRONT ST	UVALDE	78801	32020756980	00001	10/05/2006	06/30/2007
AGUILAR BAKERY	125 N WEST ST	UVALDE	78801	32010138991	00005	01/01/2008	03/31/2008
AGUILAR BAKERY	1803 MILAM ST	UVALDE	78801	32010138991	00004	07/24/2003	12/31/2004
AGUILAR BAKERY	121 W FRONT ST	UVALDE	78801	32037275081	00001	04/01/2008	12/31/2009
AGUILAR RESTAURANT AND BAKERY	208 W MAIN	UVALDE	78801	30004332463	00001	06/18/1979	12/31/1979
AGUILAR'S BAKERY	121 N FRONT	UVALDE	78801	32010138991	00003	10/01/2000	12/31/2000
AGUILAR'S BAKERY & TACO DEPOT	3837 E MAIN ST	UVALDE	78801	32009608996	00003	07/01/2006	12/31/2006
AGUILAR'S BAKERY & TACO DEPOT	125 N FRONT	UVALDE	78801	32008168075	00002	02/01/2001	09/30/2002
AGUILAR'S BAKERY & TACO DEPOT	125 N FRONT	UVALDE	78801	32009608996	00002	10/01/2002	06/30/2006
AGUILAR'S BAKERY #1	271 N GROVE ST	UVALDE	78801	32010138991	00001	04/01/1995	10/01/1996
AGUILAR'S BAKERY #2	1300 N GETTY ST	UVALDE	78801	32010138991	00002	11/04/1996	01/31/2003
AGUIRRE'S ENTERPRISE GWIRELESS	108A S GETTY ST	UVALDE	78801	32039750461	00001	06/17/2009	01/05/2010
AIR METHODS CORPORATION	301 SUL ROSS DR	UVALDE	78801	18409158930	00002	03/25/2007	09/30/2015
AIR PRODUCTS AND CHEMICALS INC	2521 E MAIN HWY 90E	UVALDE	78801	12312744555	00056	08/25/1988	05/01/1989
AIRE-CARP	614 E MAIN	UVALDE	78801	32009465934	00002	01/01/1989	05/20/1989
AK'S BAGS 'N RAGS	710 ASHBY DR	UVALDE	78801	32030537131	00001	07/15/1994	04/30/1996
AL'S LOCK & KEY	1200 NO GETTY	UVALDE	78801	32008198734	00001	08/01/1979	06/30/1980
ALADDIN RESTAURANTS INC BANKRUPTCY	318 E NOPAL	UVALDE	78801	30116207058	00001	07/10/1993	07/10/1993
ALAMO LUMBER COMPANY	1110 N CAMP ST	UVALDE	78801	17415325525	00023	09/01/1973	05/31/1976
ALAMO LUMBER COMPANY	207 S GETTY ST	UVALDE	78801	17415325525	00018	08/01/1965	08/31/1997
ALAMO RESTAURANT	1105 W MAIN ST	UVALDE	78801	32024788690	00001	01/02/1993	02/01/2001
ALAMO WELDING SUPLY OF UVALDE	HWY 90 EAST	UVALDE	78801	17416460685	00007	03/01/1985	08/25/1988
ALBERT'S REPAIR SHOP	LOT NO 195 UVALDE ESTATES ST	UVALDE	78801	32029840728	00001	09/01/1987	09/30/1988
ALCANTAR'S MOWING SERVICES	LOT 342 WINDMILL RD UVALDE ESTATES	UVALDE	78801	32006361318	00001	06/01/2002	09/30/2005
ALEJANDRA M SALAS	3060 WINDMILL RD LOT 135	UVALDE	78801	32040326616	00001	09/22/2009	12/25/2010
ALEJANDRO SERVICE	419 FLORENCE ST	UVALDE	78801	32008448808	00003	04/10/1992	09/30/2002
ALEXANDER'S PRODUCTS AND SERVICES	10 MILES NORTH FROM UVALDE ON HWY 83	UVALDE	78801	32008842612	00002	07/01/1990	12/25/2000
ALFREDO LOPEZ III	1129 MAGNOLIA ST	UVALDE	78801	32063542958	00001	04/26/2017	12/31/2018
ALFREDO'S MEXICAN RESTAURANT	536 W MAIN ST	UVALDE	78801	32041439285	00001	04/05/2010	03/14/2013
ALICES ANTIQUES	103 N WEST ST	UVALDE	78801	32009399208	00005	04/22/1991	12/31/1991
ALICIA'S FLEA MARKET	4 1/2 MI HWY 90 TOWARDS DEL RIO	UVALDE	78801	32031801288	00001	10/05/1996	12/31/1996
ALICIA'S IMPORT CONNECTION	513 W MAIN ST	UVALDE	78801	32012944651	00001	11/10/2003	12/25/2004
ALICIA'S TACOS	1321 WESTWARD TRL LOT 210	UVALDE	78801	32018284359	00001	09/30/2005	12/31/2006
ALL ABOUT YOU	612 E MAIN ST	UVALDE	78801	32025146716	00001	03/01/2000	10/15/2000
ALL AROUND FENCE	52 PRIVATE ROAD 2715	UVALDE	78801	32011148015	00001	04/15/2003	02/28/2004
ALL IN ONE NUTRITION CLUB	315 N GETTY ST	UVALDE	78801	32033941827	00006	10/28/2014	06/30/2015
ALL SEASON PEST CONTROL	100 W ROBERTS LN	UVALDE	78801	32007651584	00003	01/01/2006	09/30/2007
ALL SEASON PEST CONTROL/DYD PEST CONTROL	109 W ROBERTS LN	UVALDE	78801	32007651584	00006	01/01/2008	
ALL STAR TROPHIES & AWARDS	808 SURISE AVE	UVALDE	78801	32017930101	00001	08/04/2005	12/25/2006
ALL THAT GLITTERZ	218 E ANTONIO ST	UVALDE	78801	32060878546	00001	10/01/2020	
